35,Alief,n/a,0.0,Harris,n/a,0.0,n/a,n/a,0.0,Houston MTA,3101990,.01000,.07250,n/a,n/a,0.0,n/a,n/a,0.0
36,Allen,2043072,.02000,Collin,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
37,Allenfarm,n/a,0.0,Brazos,4021005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
38,Allentown,n/a,0.0,Angelina,4003007,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
39,Alleyton,n/a,0.0,Colorado,4045007,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
40,Alma,2070112,.01250,Ellis,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07500,n/a,n/a,0.0,n/a,n/a,0.0
41,Alpine,2022013,.01500,Brewster,4022004,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
42,Altair,n/a,0.0,Colorado,4045007,.00500,Rice Hospital District,5045506,.00500,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
43,Alto,2037016,.01000,Cherokee,4037007,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
44,Alto Springs,n/a,0.0,Falls,4073002,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
45,Alton,2108172,.02000,Hidalgo,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
46,Alum Creek,n/a,0.0,Bastrop,4011007,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
47,Alvarado,2126054,.02000,Johnson,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
48,Alvin,2020015,.01500,Brazoria,4020006,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
49,Alvord,2249083,.01500,Wise,4249001,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
50,Amarillo,2188013,.02000,Potter,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
51,Amarillo,2188013,.02000,Randall,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
52,Ames,2146096,.01000,Liberty,4146005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
53,Amherst,2140010,.01000,Lamb,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
54,Ammansville,n/a,0.0,Fayette,4075000,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
55,Amsterdam,n/a,0.0,Brazoria,4020006,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
56,Anahuac,2036017,.01000,Chambers,n/a,0.0,Chambers Co Health Ser,5036507,.00500,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
57,Anchor,n/a,0.0,Brazoria,4020006,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
58,Anderson,2093035,.01250,Grimes,4093008,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08000,n/a,n/a,0.0,n/a,n/a,0.0
59,Andrews,2002017,.01750,Andrews,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08000,n/a,n/a,0.0,n/a,n/a,0.0
60,Angleton,2020042,.01500,Brazoria,4020006,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
61,Angus,2175107,.01500,Navarro,4175009,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
62,Anna,2043134,.02000,Collin,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
63,Annarose,n/a,0.0,Live Oak,4149002,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
64,Annetta,2184099,.01000,Parker,4184008,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
65,Annetta North,2184124,.01250,Parker,4184008,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08000,n/a,n/a,0.0,n/a,n/a,0.0
66,Annetta South,2184115,.01000,Parker,4184008,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
67,Annona,2194042,.01000,Red River,4194006,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
68,Anson,2127026,.02000,Jones,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
69,Anthony,2071022,.01000,El Paso,4071004,.00500,El Paso Co Es Dis No2,5071503,.00500,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
70,Anton,2110025,.01000,Hockley,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
71,Appleby,n/a,0.0,Nacogdoches,n/a,0.0,Nacogdoches Co Hosp Dist,5174509,.01000,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
72,Aquilla,2109108,.01000,Hill,4109000,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
73,Aransas Pass,2205012,.01000,Aransas,4004006,.00500,Aransas Co Health Serv,5004505,.00500,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
74,Aransas Pass,2205012,.01000,Nueces,n/a,0.0,Aransas Pass Develop Dist,5205502,.00500,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
75,Aransas Pass,2205012,.01000,San Patricio,n/a,0.0,Aransas Pass Develop Dist,5205502,.00500,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
76,Archer City,2005023,.01500,Archer,4005005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
77,Arcola,2079131,.02000,Fort Bend,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
78,Argenta,n/a,0.0,Live Oak,4149002,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
79,Argyle,2061104,.01750,Denton,n/a,0.0,Argyle Crime Cont Dist,5061550,.00250,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
80,Arlington,2220095,.01750,Tarrant,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08000,n/a,n/a,0.0,n/a,n/a,0.0
81,Arnett,n/a,0.0,Coryell,4050009,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
82,Arney,n/a,0.0,Castro,4035009,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
83,Arp,2212068,.01000,Smith,4212004,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
84,Art,n/a,0.0,Mason,n/a,0.0,Mason Co Health Services,5157500,.00500,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
85,Arthur City,n/a,0.0,Lamar,4139004,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
86,Asa,n/a,0.0,McLennan,4161005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
87,Asherton,2064030,.01000,Dimmit,4064003,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
88,Ashland,n/a,0.0,Upshur,4230002,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
89,Asia,n/a,0.0,Polk,4187005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
90,Aspermont,2217018,.02000,Stonewall,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
91,Atascocita,n/a,0.0,Harris,n/a,0.0,n/a,n/a,0.0,Houston MTA,3101990,.01000,.07250,n/a,n/a,0.0,n/a,n/a,0.0
92,Atascosa,n/a,0.0,Bexar,n/a,0.0,n/a,n/a,0.0,San Antonio MTA,3015995,.00500,.06750,n/a,n/a,0.0,n/a,n/a,0.0
93,Ater,n/a,0.0,Coryell,4050009,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
94,Athens,2107011,.02000,Henderson,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
95,Atlanta,2034028,.02000,Cass,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
96,Aubrey,2061051,.02000,Denton,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
97,Augusta,n/a,0.0,Houston,4113004,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
98,Aurora,2249136,.01000,Wise,4249001,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
99,Austin/Dripping Springs Lib Dt,6105601,.01000,Hays,n/a,0.0,n/a,n/a,0.0,Austin MTA,3227999,.01000,.08250,n/a,n/a,0.0,n/a,n/a,0.0
100,Austin,2227016,.01000,Travis,n/a,0.0,n/a,n/a,0.0,Austin MTA,3227999,.01000,.08250,n/a,n/a,0.0,n/a,n/a,0.0
101,Austin,2227016,.01000,Williamson,n/a,0.0,n/a,n/a,0.0,Austin MTA,3227999,.01000,.08250,n/a,n/a,0.0,n/a,n/a,0.0
102,Austin/Westbank Lib Dist,6227604,.01000,Travis,n/a,0.0,n/a,n/a,0.0,Austin MTA,3227999,.01000,.08250,n/a,n/a,0.0,n/a,n/a,0.0
103,Austonio,n/a,0.0,Houston,4113004,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
104,Austwell,2196040,.01000,Refugio,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
105,Avery,2194024,.01000,Red River,4194006,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
106,Avinger,2034046,.01500,Cass,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
107,Avinger,2034046,.01500,Marion,4155003,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
108,Axtell,n/a,0.0,McLennan,4161005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
109,Azle,2184035,.01250,Parker,4184008,.00500,Azle Crm Control Dist,5184516,.00250,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
110,Azle,2184035,.01250,Tarrant,n/a,0.0,Azle Crm Control Dist,5184516,.00250,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
111,Bagwell,n/a,0.0,Red River,4194006,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
112,Bailey,2074109,.01000,Fannin,4074001,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
113,Baileys Prairie,2020220,.01000,Brazoria,4020006,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
114,Baileyville,n/a,0.0,Milam,4166000,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
115,Baird,2030022,.01500,Callahan,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
116,Balch Springs,2057119,.02000,Dallas,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
117,Balcones Heights,2015030,.01000,Bexar,n/a,0.0,Balcones Heights Crm Con,5015502,.00500,San Antonio MTA,3015995,.00500,.08250,n/a,n/a,0.0,n/a,n/a,0.0
118,Ballinger,2200017,.01500,Runnels,4200008,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
119,Balmorhea,2195032,.01500,Reeves,n/a,0.0,Reeves Co Hospital Dist,5195504,.00500,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
120,Balsora,n/a,0.0,Wise,4249001,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
121,Bammel,n/a,0.0,Harris,n/a,0.0,n/a,n/a,0.0,Houston MTA,3101990,.01000,.07250,n/a,n/a,0.0,n/a,n/a,0.0
122,Bandera,2010017,.01500,Bandera,4010008,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
123,Bangs,2025029,.01750,Brown,n/a,0.0,Bangs Muni Dev Dist,5025500,.00250,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
124,Banquete,n/a,0.0,Nueces,n/a,0.0,n/a,n/a,0.0,Corpus Christi MTA,3178998,.00500,.06750,n/a,n/a,0.0,n/a,n/a,0.0
125,Barbarosa,n/a,0.0,Guadalupe,4094007,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
126,Barclay,n/a,0.0,Falls,4073002,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
127,Bardwell,2070149,.01000,Ellis,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
128,Barkman,n/a,0.0,Bowie,4019009,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
129,Barnes,n/a,0.0,Polk,4187005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
130,Barnum,n/a,0.0,Polk,4187005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
131,Barry,n/a,0.0,Navarro,4175009,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
132,Bartlett,2246077,.01000,Bell,4014004,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.07750,n/a,n/a,0.0,n/a,n/a,0.0
133,Bartlett,2246077,.01000,Williamson,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
134,Bartley Woods,n/a,0.0,Fannin,4074001,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
135,Bartonville,2061211,.01750,Denton,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08000,n/a,n/a,0.0,n/a,n/a,0.0
136,Bartonville/ Denton Co Dd4,6061612,.02000,Missing From County Table,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
137,Bassett,n/a,0.0,Bowie,4019009,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
138,Bastrop,2011025,.01500,Bastrop,4011007,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
139,Bateman,n/a,0.0,Bastrop,4011007,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
140,Battle,n/a,0.0,McLennan,4161005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
141,Bay City,2158028,.02000,Matagorda,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
142,Bayou Vista,2084205,.01750,Galveston,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08000,n/a,n/a,0.0,n/a,n/a,0.0
143,Bayside,2196031,.01000,Refugio,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
144,Baytown,2101151,.01250,Chambers,n/a,0.0,Chambers Co Health Ser,5036507,.00500,n/a,n/a,0.0,.08125,Baytown Crime Control,5101632,.00125,n/a,n/a,0.0
145,Baytown,2101151,.01250,Harris,n/a,0.0,Baytown Mun Dev Dist,5036516,.00500,n/a,n/a,0.0,.08125,Baytown Crime Control,5101632,.00125,n/a,n/a,0.0
146,Bayview,2031183,.01000,Cameron,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
147,Bazette,n/a,0.0,Navarro,4175009,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
148,Beach City,n/a,0.0,Chambers,n/a,0.0,Chambers Co Health Ser,5036507,.00500,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
149,Bear Creek,n/a,0.0,Hays,4105004,.00500,Dripping Spgs Lib Dist,5105512,.00250,n/a,n/a,0.0,.07000,n/a,n/a,0.0,n/a,n/a,0.0
150,Beasley,2079060,.02000,Fort Bend,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
151,Beaumont,2123011,.01500,Jefferson,4123002,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
152,Beauxart Gardens,n/a,0.0,Jefferson,4123002,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
153,Bebe,n/a,0.0,Gonzales,4089004,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
154,Beckville,2183027,.01000,Panola,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.07250,n/a,n/a,0.0,n/a,n/a,0.0
155,Bedford,2220102,.02000,Tarrant,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
156,Bedias,2093044,.01250,Grimes,4093008,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08000,n/a,n/a,0.0,n/a,n/a,0.0
157,Bee Cave,2227150,.02000,Travis,n/a,0.0,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
158,Bee House,n/a,0.0,Coryell,4050009,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
159,Beeville,2013014,.01500,Bee,4013005,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.08250,n/a,n/a,0.0,n/a,n/a,0.0
160,Belfalls,n/a,0.0,Bell,4014004,.00500,n/a,n/a,0.0,n/a,n/a,0.0,.06750,n/a,n/a,0.0,n/a,n/a,0.0
